"순서","시군구코드","교량일련번호","교량명_한글","교량명_영문","위도","경도"
"271","11740","21","상일3교"," ","37.5460295","127.1741555"
"272","11740","23"," "," ","37.545091","127.1210203"
"274","11380","1","와산교"," ","37.5887269","126.9135645"
"275","11380","4","신응교"," ","37.5923103","126.9144353"
"276","11380","5"," "," ","37.5956638","126.9153128"
"279","11350","19"," "," ","37.6285471","127.0452586"
"280","11710","32"," "," ","37.5388788","127.1153246"
"281","11710","33","올림픽대교"," ","37.5411046","127.1189306"
"282","11470","1","오금교"," ","37.5085231","126.8735311"
"283","11470","4"," "," ","37.5255317","126.8348724"
"285","11710","5"," "," ","37.4992351","127.1432736"
"286","11710","6","성내제3교"," ","37.4994594","127.1419138"
"287","11710","8","마천교"," ","37.499934","127.146166"
"288","11710","10","성내제6교"," ","37.5040275","127.1367927"
"290","11710","19","서부교"," ","37.5141571","127.1426685"
"291","11200","1"," "," ","37.5339631","127.0567409"
"294","11650","21","서초3교","Seocho 3(sam)gyo","37.4874047","127.0245597"
"295","11650","23","서초1교","Seocho 1(il)gyo","37.496013","127.0212886"
"296","11650","24","반포교","Banpogyo","37.4992493","126.9901007"
"260","11500","7"," "," ","37.5654086","126.8283602"
"263","11260","7","이화교"," ","37.601418","127.0725158"
"265","11440","15","성산교"," ","37.5620598","126.8989813"
"269","11740","13"," "," ","37.5573578","127.1757708"
"273","11680","30","동호대교"," ","37.5358245","127.0215431"
"277","11380","10","수색교"," ","37.5865396","126.8863032"
"278","11215","10","잠실대교"," ","37.5238343","127.0918351"
"284","11470","6"," "," ","37.5311529","126.8864545"
"289","11710","16"," "," ","37.5096371","127.1000852"
"292","11200","23","고산자교"," ","37.5722647","127.0379788"
"293","11200","35"," "," ","37.5359366","127.0156262"
"299","11470","7"," "," ","37.5279157","126.8488774"
"300","11560","18","양화대교"," ","37.5403678","126.9013516"
"302","11710","12","성내제7교"," ","37.5056921","127.1366809"
"304","11710","21"," "," ","37.5179339","127.0916279"
"305","11710","22"," "," ","37.5181866","127.0914968"
"306","11290","7","석계교"," ","37.6144437","127.0668119"
"307","11200","34","용비교"," ","37.5457989","127.0318358"
"311","11500","18"," "," ","37.5535499","126.8768397"
"312","11650","26"," "," ","37.5030471","127.018627"
"313","11650","28"," "," ","37.5149696","127.0154496"
"315","11410","4","연가교","Yeongagyo","37.5719913","126.9218655"
"316","11410","6","흥남교","Heungnamgyo","37.5754253","126.9264384"
"317","11410","9","홍연교","Hongyeongyo","37.5800368","126.936176"
"318","11410","10","증산3교","Jeungsan 3(sam)gyo","37.5801012","126.906341"
"319","11410","12","제3홍재교","Je 3(sam)hongjaegyo","37.5880494","126.9361752"
"321","11410","19","증산2교","Jeungsan 2(i)gyo","37.5842559","126.9107071"
"322","11290","2","남암교"," ","37.5822372","127.0223389"
"323","11290","3","보문4교"," ","37.5838189","127.0216324"
"324","11710","31"," "," ","37.5386662","127.1155769"
"326","11560","19"," "," ","37.5515527","126.8785657"
"327","11710","11"," "," ","37.504835","127.1237127"
"332","11410","13","홍제교","Hongjegyo","37.5920194","126.944189"
"333","11290","4","보문2교"," ","37.5870116","127.0205104"
"297","11470","12","신정교"," ","37.5166856","126.8799107"
"298","11440","25","마포대교"," ","37.5334355","126.9365017"
"301","11710","9","성내제5교"," ","37.5015537","127.1375039"
"303","11710","14"," "," ","37.5095561","127.099531"
"309","11710","15"," "," ","37.5093437","127.0996743"
"334","11290","9","종암대교"," ","37.5912755","127.0388956"
"336","11500","3"," "," ","37.5568418","126.8196368"
"392","11200","4","뚝섬교"," ","37.5381613","127.0434854"
"393","11200","8","장안교"," ","37.5517422","127.054272"
"394","11200","11","살곶이다리"," ","37.5536458","127.0460092"
"395","11200","13"," "," ","37.558136","127.0391244"
"396","11200","26","황학교"," ","37.5717192","127.0233915"
"397","11350","3","월계1교"," ","37.6327988","127.0631587"
"399","11350","14","노원교"," ","37.6789938","127.050835"
"400","11440","13"," "," ","37.5591557","126.8928684"
"403","11650","35"," "," ","37.5040393","126.9792934"
"404","11620","3"," "," ","37.4611002","126.930292"
"406","11440","7"," "," ","37.5585295","126.8933656"
"372","11350","9"," "," ","37.6541418","127.0720078"
"374","11200","33","영동대교"," ","37.5296604","127.0569292"
"376","11680","25","한남대교"," "," "," "
"377","11650","32","반포대교","Banpodaegyo","37.5145351","126.9965477"
"381","11680","16"," "," ","37.5016651","127.0695518"
"383","11215","13","장평교"," ","37.5718638","127.0783146"
"408","11650","12","여의교","Yeouigyo","37.4694607","127.0381683"
"384","11650","33","동작대교","Dongjakdaegyo","37.5103186","126.9816716"
"420","11170","8","동작대교"," ","37.5103186","126.9816716"
"430","11350","20","월계508교"," ","37.6200614","127.0543173"
"431","11710","30"," "," ","37.5257863","127.1204161"
"432","11560","6"," "," ","37.5291336","126.8899977"
"438","11230","22","고산자교","Gosanjagyo(Bridge)","37.5722688","127.0379177"
"440","11140","9","마전교"," ","37.5696201","127.0020605"
"443","11320","36","수유교"," ","37.6443229","127.0285845"
"444","11740","27","강동대교"," ","37.5753178","127.1635408"
"447","11305","10","번창교"," ","37.6423433","127.0317166"
"449","11545","3"," "," ","37.4501551","126.8958994"
"390","11290","5","종암교"," ","37.5956064","127.040582"
"398","11350","10","염광교"," ","37.65518","127.0721935"
"401","11740","17"," "," ","37.5488192","127.1790932"
"402","11680","45","한남대교"," ","37.5269456","127.0133932"
"405","11215","5"," "," ","37.5339528","127.0958786"
"407","11650","31","한남대교","Hannamdaegyo","37.5269456","127.0133932"
"410","11200","2"," "," ","37.5341539","127.0577087"
"411","11200","9","살곶이다리"," ","37.5529701","127.0467778"
"416","11710","45"," "," ","37.484147","127.1110183"
"419","11560","5"," "," ","37.5262795","126.9122421"
"421","11560","25","원효대교"," ","37.5270975","126.9457568"
"422","11170","14"," "," ","37.5399967","127.0184513"
"423","11560","8"," "," ","37.5315591","126.908641"
"424","11560","11"," "," ","37.5370878","126.9009716"
"425","11560","13"," "," ","37.5378837","126.8883102"
"426","11170","16"," "," ","37.5397554","127.0186179"
"427","11350","4"," "," ","37.6358704","127.0600045"
"428","11350","11","새싹교"," ","37.657356","127.0720768"
"429","11350","15","상계교"," ","37.6618263","127.0514113"
"433","11560","10"," "," ","37.5334146","126.9073255"
"434","11140","7","버들다리"," ","37.5696653","127.0066874"
"435","11230","21","군자교","Gunjagyo(Bridge)","37.5600642","127.072132"
"436","11110","4","광교"," ","37.5688712","126.9827794"
"437","11740","9"," "," ","37.5641003","127.1719677"
"439","11140","10","새벽다리"," ","37.5693173","127.000206"
